feature,importance
x_71,0
x_146,0
x_147,0
x_148,0
x_149,0
x_118,0
x_119,0
x_120,0
x_117,0
x_106,0
x_151,0
x_122,0
x_123,0
x_152,0
x_124,0
x_125,0
x_126,0
x_121,0
x_127,0
x_116,0
x_70,0
x_105,0
x_104,0
x_103,0
x_102,0
x_108,0
x_109,0
x_94,0
x_115,0
x_92,0
x_110,0
x_145,0
x_111,0
x_112,0
x_77,0
x_113,0
x_114,0
x_89,0
x_128,0
x_107,0
x_137,0
x_18,0
x_135,0
x_134,0
x_21,0
x_22,0
x_23,0
x_133,0
x_136,0
x_25,0
x_12,0
x_17,0
x_28,0
x_27,0
x_132,0
x_31,0
x_138,0
x_129,0
x_37,0
x_6,0
x_34,0
x_131,0
x_15,0
x_130,0
x_11,1
x_5,1
x_85,1
x_16,1
x_10,2
x_143,2
x_76,3
x_144,3
x_150,3
x_26,3
x_139,3
x_75,4
x_3,4
x_9,4
x_90,4
x_74,5
x_73,6
x_101,7
x_100,7
x_86,7
x_33,7
x_4,8
x_87,10
x_98,11
x_49,11
x_153,11
x_32,11
x_96,13
x_155,13
x_65,16
x_88,23
x_66,23
x_82,24
x_154,25
x_39,25
x_99,26
x_67,28
x_91,28
x_60,30
x_84,33
x_44,33
x_46,35
x_58,38
x_141,41
x_142,42
x_83,43
x_72,46
x_51,47
x_156,50
x_68,50
x_78,53
x_7,53
x_69,53
x_13,53
x_38,53
x_56,55
x_45,56
x_55,57
x_57,57
x_140,58
x_20,58
x_50,63
x_64,63
x_43,64
x_14,65
x_35,65
x_97,65
x_47,66
x_53,67
x_41,68
x_36,68
x_42,69
x_19,79
x_8,80
x_30,82
x_24,83
x_79,84
x_157,85
x_29,87
x_59,92
x_61,94
x_40,98
x_62,99
x_54,104
x_48,106
x_93,107
x_52,116
x_63,118
x_1,144
x_81,174
x_95,183
x_2,261
x_80,512
